受付番号,学校コード(AlexSystem),都道府県番号,都道府県,校種番号,校種,分野番号,分野,国公私番号,国公私,学校名,学校名ふりがな,学部名,学科名,コース,専攻,指定校有無,出願条件,出願条件(資格),人数枠,評定,欠席,選考方法,備考,受付期間,あ,あｓ,試験日,試験日2,学力,小論文,面接,汎用,要録用所在地
25001,,,埼玉,2,短大,,,3,私立,埼玉女子短期大学,サイタマジョシタンキ,,商学科,詳細は進路支援部まで,,,以下の者は指定校奨学生として受験を認める。 ・評定平均3.0以上の者 ・生徒会の活動を行った者 ・1年次から同一のクラブ活動に2年以上継続して活動している ・3年間の欠席が5日以内。,短大が認める所定の資格を取得した者は、指定校奨学生として受験を認める。 （資格については進路支援部まで）,4,3,10,書類・面接,女子のみ。,,,,,,,,,,
25002,,,埼玉,2,短大,,,3,私立,埼玉女子短期大学,サイタマジョシタンキ,,国際コミュニケーション学科,詳細は進路支援部まで,,,以下の者は指定校奨学生として受験を認める。 ・評定平均3.0以上の者 ・生徒会の活動を行った者 ・1年次から同一のクラブ活動に2年以上継続して活動している ・3年間の欠席が5日以内。,短大が認める所定の資格を取得した者は、指定校奨学生として受験を認める。 （資格については進路支援部まで）,4,3,10,書類・面接,女子のみ。,,,,,,,,,,
25003,,,埼玉,2,短大,,,3,私立,埼玉女子短期大学,サイタマジョシタンキ,,商学科・ 国際コミュニケーション学科,詳細は進路支援部まで,,,,以下のいずれかに該当する女子。 ・評定平均3.4以上 ・日本英語検定協会 実用英語検定準2級以上(CBT、S-CBTを含む) ・TOEIC450点以上 ・日本漢字能力検定協会 日本漢字能力検定2級以上 ・日商簿記検定2級以上 ・日商リテールマーケティング(販売士)検定2級以上 ・全商簿記実務検定1級(部門別合格可) ・全商ビジネス文書実務検定1級(両部門) ・全商情報処理検定1級(部門別合格可) ・全商英語検定1級 ・ITパスポート試験 ・世界遺産アカデミー主催 世界遺産検定2級以上,2,3.4,10,書類・面接・課外活動評価,特待生、入学金免除,,,,,,,,,,
25004,,,愛知,3,専門,,,3,私立,愛知美容専門学校,アイチビヨウ,,美容科,,,有,オープンキャンパスに参加, ,3,3.5,10,書類,入学検定料２万円、入学金10万円免除,,,,,,,,,,
25005,,,愛知,3,専門,,,3,私立,名古屋スクールオブミュージック＆ダンス専門学校,ナゴヤスクールオブミュージックアンドダンス,,全科,,,有,体験入学・オープンキャンパスのいずれかに参加,,3,2.7,10,面接・書類,選考料3万円免除。 8回選考あり。全科で３名,,,,,,,,,,
25006,,,愛知,3,専門,,,3,私立,専門学校セントラルトリミングアカデミー,セントラルドウブツ,,動物美容・管理学科,トリマーコース,,有,,,1,2.7,10,書類・面接,受験料２万円免除、入学金４万円免除、2026年4月からセントラル動物専門学校に名前が変わる。,,,,,,,,,,
25007,,,愛知,3,専門,,,3,私立,専門学校セントラルトリミングアカデミー,セントラルドウブツ,,動物看護学科,動物看護師コース,,有,,,制限なし,2.7,10,書類・面接・適性検査,受験料２万円免除、入学金４万円免除、2026年4月からセントラル動物専門学校に名前が変わる。,,,,,,,,,,
25008,,,愛知,3,専門,,,3,私立,名古屋福祉専門学校,ナゴヤフクシ,,介護福祉学科,,,有,介護福祉士に関心が高い者。,,制限なし,3.2,10,書類・面接,入学検定料２万円、入学金10万円免除、１年次の学費半額。 評定3.8以上で特待生として受験可。,,,,,,,,,,
25009,,,愛知,3,専門,,,3,私立,名古屋経営会計専門学校,ナゴヤケイエイカイケイ,,経営実務科,,,有,,,1,2.7,10,書類・面接,,,,,,,,,,,
25010,,,愛知,3,専門,,,3,私立,名古屋経営会計専門学校,ナゴヤケイエイカイケイ,,ビジネス科,,,有,,,1,2.7,10,書類・面接,,,,,,,,,,,
25011,,,愛知,3,専門,,,3,私立,トライデントコンピュータ専門学校,トライデントコンピュータ,,全学科,,,有,,,若干名,3,10,書類,全科で若干名。選考料免除。サイバーセキュリティ科は対象外。,,,,,,,,,,
25012,,,愛知,3,専門,,,3,私立,トライデント外国語・エアライン・ホテル専門学校,トライデントガイコクゴ・エアライン・ホテル,,全学科,,,有,,,若干名,3,10,書類,各学科で若干名,,,,,,,,,,
25013,,,愛知,3,専門,,,3,私立,トライデントデザイン専門学校,トライデントデザイン,,,,,有,,,若干名,3,10,書類,各学科で若干名,,,,,,,,,,
25014,,,愛知,3,専門,,,3,私立,ELICビジネス＆公務員専門学校,エリックビジネス＆コウムイン,,全学科,全コース,,有,,,2,2.7,10,書類・面接・学科（国語）,"全科で合計2名。学費50,000円免除",,,,,,,,,,
25015,,,愛知,3,専門,,,3,私立,ミス・パリビューティー専門学校 名古屋校,ミス・パリ・ビューティー,,トータルビューティ学科,,,有,上位3教科の平均が3.2以上でも可。 生徒会や部活動に積極的に取り組んだ人。,,2,3,3,書類・面接,"選考料20,000円免除。学費から50,000円免除",,,,,,,,,,
25016,,,愛知,3,専門,,,3,私立,中日美容専門学校,チュウニチビヨウ,,全学科,,,有,,,4,3,10,書類,選考料無料,,,,,,,,,,
25017,,,愛知,3,専門,,,3,私立,日産・自動車大学校,ニッサン・ジドウシャ,,1級自動車工学科,,,有,全体の評定平均かつ数学の評定平均3.0。 1.当校卒業までに普通自動車運転免許(MT車)を取得する。,,制限なし,3,10,書類・面接,,,,,,,,,,,
25018,,,愛知,3,専門,,,3,私立,日産・自動車大学校,ニッサン・ジドウシャ,,1級自動車工学科以外の学科,,,有,,,制限なし,2.7,10,書類・面接,,,,,,,,,,,
25019,,,愛知,3,専門,,,3,私立,東海医療技術専門学校,トウカイイリョウギジュツ,,医療専門課程診療放射線科,,,有,,,若干名,3.2,10,書類・面接・学科（数学）,,,,,,,,,,,
25020,,,大阪,1,四大,,,3,私立,大阪商業大学,オオサカショウギョウ,総合経営学部,経営学科,,,,,,1,3.4,10,書類・面接・口頭試問,"入学前教育あり。 希望者にはチャレンジ制度として英語および国語のテストを受け、成績の上位者には新入生奨学金として奨学金260,000円を給付。また、大学の指定の検定を取得している者も新入生奨学金として奨学金260,000円を給付。(検定については進路まで問い合わせてください。)",,,,,,,,,,
25021,,,群馬,1,四大,,,3,私立,上武大学,ジョウブ,ビジネス情報学部,国際ビジネス学科,,,,特別プログラムとして評定3.5以上あれば、5万円分の図書カードを進呈。,,若干名,3,10,小論文・面接・書類,出願者が決まったら、要項を請求。,,,,,,,,,,
25022,,,群馬,1,四大,,,3,私立,上武大学,ジョウブ,ビジネス情報学部,スポーツ健康マネジメント学科 ,スポーツマネジメントコース スポーツトレーナーコース,,,特別プログラムとして評定3.5以上あれば、5万円分の図書カードを進呈。,,若干名,3,10,小論文・面接・書類,出願者が決まったら、要項を請求。,,,,,,,,,,
25023,,,群馬,1,四大,,,3,私立,上武大学,ジョウブ,ビジネス情報学部,スポーツ健康マネジメント学科 ,柔道整復師コース,,,特別プログラムとして評定3.8以上あれば、5万円分の図書カードを進呈。,,1,3.4,10,小論文・面接・書類,出願者が決まったら、要項を請求。,,,,,,,,,,
25024,,,群馬,1,四大,,,3,私立,上武大学,ジョウブ,看護学部,看護学科,,,,評定平均3.0以上で、ボランティアなど社会的活動で評価を得た者、部活動や生徒会活動で実績を上げた者、積極的に資格取得を行った者。 特別プログラムとして評定4.0以上あれば、5万円分の図書カードを進呈。,,若干名,3.5,10,小論文・面接・書類,出願者が決まったら、要項を請求。,,,,,,,,,,
25025,,,愛知,3,専門,,,3,私立,中部リハビリテーション専門学校,チュウブリハビリテーション,,理学療法学科一部・二部,,,有,健康状態が良好な者,,1,3.4,10,書類・面接,"入学検定料\20,000免除",,,,,,,,,,
25026,,,岐阜,1,四大,,,3,私立,岐阜女子大学,ギフジョシ,文化創造学部,文化創造学科,,デジタルアーカイブ専攻,,,,1,3,10,小論文・面接・書類,試験は小論文か面接のどちらかで行われる。,,,,,,,,,,
25027,,,岐阜,1,四大,,,3,私立,岐阜女子大学,ギフジョシ,文化創造学部,文化創造学科,,文化創造学専攻,,  ,,1,3,10,小論文・面接・書類,試験は小論文か面接のどちらかで行われる。,,,,,,,,,,
25028,,,岐阜,1,四大,,,3,私立,岐阜女子大学,ギフジョシ,文化創造学部,文化創造学科,,初等教育学専攻,,,,1,3,10,小論文・面接・書類,試験は小論文か面接のどちらかで行われる。,,,,,,,,,,
25029,,,東京,2,短大,,,3,私立,東京立正短期大学,トウキョウリッショウ,,現代コミュニケーション学科,,幼児教育専攻、現代コミュニケーション専攻,,,,5,3,10,書類,幼児教育専攻、現代コミュニケーション専攻 合わせて5名,,,,,,,,,,
