事業所番号,求人番号,都道府県,職安管轄コード,産業分類コード,職業分類コード,職業細分類コード,受付番号,事業所名,事業所名フリガナ,郵便番号,所在地,事業内容,従業員数(全体),従業員数(就業場所),従業員数(男性),従業員数(女性),資本金(億円),職種,備考,休日日数,給与(円),賞与(基本給、円),賞与(平均、万円),交代制,鉄道路線,最寄駅,求人Ｍ,求人Ｆ,求人ＭＦ,就業場所,職種分類,応募先郵便番号,応募先,採用担当部署,採用担当者,採用担当TEL,採用担当FAX,前年度事業所紐づけ
2307-201167-0,23070-440259,愛知県,2307,95,72,6,250001,サンエイ糖化　株式会社,サンエイトウカ,478-8503,愛知県知多市北浜町24-5,とうもろこしを原料として、ぶどう糖をはじめとする各種糖類の製造販売乳酸菌の受託培養を行う。,260,240,200,40,4,"工場技能職",,100,236675,6.66,0.00,3交代,名鉄常滑線,古見,1,,,知多市,"技能（機械、製造、技術）",478-8503,"愛知県知多市北浜町24-5 ",総務部　人事総務課　係長,野田　伸介,0562-55-5111,0562-56-2400,"240001　サンエイ糖化　株式会社　工場技能職"
2307-202730-6,23070-13759,愛知県,2307,183,73,8,250002,日幸ライト工業　株式会社,ニッコウライトコウギョウ　,479-0002,愛知県常滑市久米字西仲根185,プラスチックの部品の成形、組立,370,88,38,50,0.1,プラスチック製品製造業務,就業場所：久米工場、常滑工場、大曽工場、半田工場,120,193000,4.90,0.00,シフト,名鉄常滑線,西ノ口,,,1,常滑市、半田市,"技能（機械、製造、技術）",479-0002,愛知県常滑市久米字西仲根185,総務部　総務グループ　主席,酒井　健行,0569-43-5252,0569-43-5590,240005　日幸ライト工業　株式会社　プラスチック製品製造業務
2307-188450-2,23070-234959,愛知県,2307,931,34,1,250003,東海商工会議所,トウカイショウコウカイギショ,476-0013,愛知県東海市中央町四丁目２番地,商工業の振興,20,18,6,12,0,一般事務,,129,194500,4.00,0.00,なし,名鉄常滑線,太田川,,,1,東海市,事務,476-0013,愛知県東海市中央町四丁目２番地,総務管理課長,天野,0562ｰ33ｰ2811,0562-32-5366
2307-160090-8,23070ｰ300159,愛知県,2307,631,38,2,250004,知多信用金庫,チタシンヨウキンコ,475-0911,愛知県半田市星崎町3-39-10,金融業,577,16,9,7,9.1,金融事務および営業,,120,187500,5.00,0.00,なし,名鉄河和線,知多半田,,,2,半田市,事務,475-0911,愛知県半田市星崎町3-39-10,人事教育部　次長,野崎　裕也,0569-26-1002,0569-24-8455,240033　知多信用金庫　金融事務及び営業
2307-180651-7,23070-226959,愛知県,2307,97,68,1,250005,株式会社　坂角総本舗,"バンカクソウホンポ",476-8577,愛知県東海市荒尾町甚造１５－１,えびせんべいの製造・販売,569,238,103,135,0.8,製造職（機械メンテナンス）,適性検査→役員面接（2日間）,114,205900,6.00,0.00,なし,名鉄常滑線,太田川,,,1,東海市,"技能（機械、製造、技術）",476-8577,愛知県東海市荒尾町甚造１５－１,人事部人材開発課,榊原　誠,052-603-5333,052-604-8022,240015　株式会社　坂角総本舗　製造職（機械メンテナンス）
2307-180651-7,23070ｰ332859,愛知県,2307,97,45,2,250006,株式会社　坂角総本舗,"バンカクソウホンポ",476-8577,愛知県東海市荒尾町甚造１５－１,えびせんべいの製造・販売,569,7,1,6,0.8,接客販売職（西日本支社）,適性検査→役員面接（2日間）,114,205900,6.00,0.00,シフト,名鉄常滑線,太田川,,,1,名古屋市中村区、名古屋市中区,接客・販売,476-8577,愛知県東海市荒尾町甚造１５－１,人事部人材開発課,榊原　誠,052-603-5333,052-604-8022,240016　株式会社　坂角総本舗　接客販売職
2307-204026-3,23070ｰ190259,愛知県,2307,833,28,2,250007,小島歯科室,コジマシカシツ,476-0012,愛知県東海市富木島町伏見2-24-10,歯科医療全般、健康イベント,32,32,4,28,0.1,歯科助手（養成歯科衛生士）,入学金・授業料：5年勤務で全額、3年勤務で半額を返済不要,195,54600,2.50,0.00,シフト,名鉄常滑線,太田川,,1,,東海市,医療,476-0012,愛知県東海市富木島町伏見2-24-10,事務,鈴木実穂,052-601-8001,052-601-8513,240019　小島歯科室　歯科助手（養成歯科衛生士）
2307ｰ614504ｰ1,23070ｰ360259,愛知県,2307,531,80,4,250008,株式会社　シンホリ,シンホリ,475ｰ0021,愛知県半田市州の崎町2-226,木材・新建材・プレカットの卸売・不動産仲介業,122,62,45,17,0.2,CADオペレーター,,116,195000,1.80,0.00,シフト,JR武豊線,亀崎,,,1,半田市,"技能（システム、プログラマ）",475ｰ0021,愛知県半田市州の崎町2-226,デジタルマーケティング室,結木　翔,090-9973-5973,0569-29-6280
2307-180998-2,23070-412859,愛知県,2307,441,95,2,250009,アイチ物流　株式会社,アイチブツリュウ,477-0036,愛知県東海市横須賀町天宝新田35-4,一般貨物自動車運送事業・倉庫業・産業廃棄物の収集、運搬、処理事業,204,106,105,1,0.39,鋼材入出荷業務,,119,177000,0.00,69.00,2交代,名鉄常滑線,太田川,1,,,東海市,"技能（機械、製造、技術）",477-0036,愛知県東海市横須賀町天宝新田35-4,人事部,寺西　研治,0562-33-1431,0562-32-9553,240007　アイチ物流　株式会社　鋼材運搬業務
2307-180998-2,23070ｰ411959,愛知県,2307,441,83,1,250010,アイチ物流　株式会社,アイチブツリュウ,477-0036,愛知県東海市横須賀町天宝新田35-4,一般貨物自動車運送事業・倉庫業・産業廃棄物の収集、運搬、処理事業,204,89,87,2,0.39,鋼材運搬業務,,119,177000,0.00,69.00,2交代,名鉄常滑線,太田川,1,,,東海市,"技能（機械、製造、技術）",477-0036,愛知県東海市横須賀町天宝新田35-4,人事部,寺西　研治,0562-33-1431,0562-32-9553,240007　アイチ物流　株式会社　鋼材運搬業務
